"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","flushOilNum","class","classnum","pavement","streetID","NumofYrs","predict"
"2906",300,"CLINTON","ST",3,"N",5,3,4,342,40,"4/14/2016",2001,"F",3,"MA",3,"6",12573903,"15",6
"2907",300,"CLINTON","ST",3,"S",6,3,3,260,50,"4/14/2016",2001,"F",3,"MA",3,"6",12573749,"15",6
"2908",300,"COLDBROOK","DR",4,"",5,2,3,345,18,"6/15/2016",2000,"O",2,"Local",1,"3",12576531,"16",5
"2909",300,"COLERIDGE","AVE",6,"",6,3,4,1368,25,"4/15/2016",1999,"F",3,"Local",1,"6",12572705,"17",6
"2910",300,"COLLINGWOOD","AVE",6,"N",5,3,3,1151,28,"5/15/2016",1985,"O",2,"Local",1,"3",12581410,"31",6
"2911",300,"COLLINGWOOD","AVE",6,"S",7,3,5,813,24,"4/15/2016",1985,"O",2,"Local",1,"3",12580975,"31",6
"2912",300,"COLUMBUS","AVE",6,"",6,3,3,411,36,"6/15/2016",2002,"F",3,"Local",1,"6",12578212,"14",6
"2913",300,"COLVIN","ST",3,"E",7,3,4,416,30,"3/15/2016",1985,"F",3,"MA",3,"6",12577285,"31",6
"2914",300,"COLVIN","ST",3,"E",7,3,4,416,30,"3/15/2016",1985,"F",3,"MA",3,"6",13002102,"31",6
"2915",300,"COLVIN","ST",3,"E",7,3,4,416,30,"3/15/2016",1985,"F",3,"MA",3,"6",12577286,"31",6
"2916",300,"COLVIN","ST",3,"W",8,4,3,498,25,"3/15/2016",2004,"F",3,"MA",3,"6",12576826,"12",7
"2917",300,"COMSTOCK","AVE",6,"",5,3,2,591,30,"5/15/2016",1999,"F",3,"MA",3,"6",12578121,"17",5
"2918",300,"COOLIDGE","AVE",6,"",5,3,2,585,30,"3/15/2016",1983,"F",3,"Local",1,"6",12573156,"33",5
"2919",300,"COUGHLIN","AVE",6,"",6,3,3,288,27,"5/15/2016",1985,"O",2,"Local",1,"3",12581101,"31",6
"2920",300,"COURT","ST",3,"",7,4,4,500,34,"4/15/2016",1989,"F",3,"MA",3,"6",12575281,"27",7
"2921",300,"COURT","ST",3,"",7,4,4,500,34,"4/15/2016",1989,"F",3,"MA",3,"6",12575280,"27",7
