block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
300,DEWITT,ST,3,,6,3,3,384,27,12/1/2000,1986,F,1,3,Local,6,12580349,14
300,DIVISION,ST,3,E,6,3,3,380,33,2/1/2000,1985,F,1,3,Local,,12575128,15
300,DIVISION,ST,3,E,6,3,3,380,33,2/1/2000,1985,F,1,3,Local,,12575127,15
300,DORWIN,AVE,6,,6,3,3,1415,27,1/1/2016,1985,,1,1,Local,4,13009803,31
300,DORWIN,AVE,6,,6,3,3,1415,27,1/1/2016,1985,,1,1,Local,4,13002107,31
300,DORWIN,AVE,6,,6,3,3,1415,27,1/1/2016,1985,,1,1,Local,4,12563572,31
300,DORWIN,AVE,6,,6,3,3,1415,27,1/1/2016,1985,,1,1,Local,4,13019515,31
300,DOUGLAS,ST,3,,3,1,2,730,27,12/1/1999,1985,F,1,3,Local,6,12580086,14
300,DRISCOLL,AVE,6,,7,3,4,564,,3/1/2000,1999,,1,1,Local,3,13017594,1
300,DUANE,ST,3,,7,3,4,303,,12/1/1999,1999,,1,1,Local,3,12572921,0
300,DUDLEY,ST,3,,7,4,3,168,34,12/1/1999,1985,F,1,3,Local,,12573077,14
300,DURSTON,AVE,6,,6,3,3,387,25,12/1/2000,1985,F,1,3,Local,6,12580504,15
300,EDGEWOOD,AVE,6,,7,3,4,293,26.5,12/1/1999,1985,O,1,2,Local,3,12571915,14
300,EDWARDS,AVE,6,N,7,4,4,1177,29,12/1/2000,1985,O,1,2,Local,3,12581422,15
300,EDWARDS,AVE,6,S,7,3,4,720,24,12/1/1999,1985,O,1,2,Local,3,12580985,14
300,ELLIS,ST,3,,5,2,3,278,27.5,1/1/2016,1985,F,1,3,Local,6,12578720,31
300,ELM,ST,3,,6,3,4,1160,30,12/1/1999,1999,F,1,3,Local,6,12578292,0
300,EMERSON,AVE,6,,6,3,3,343,36,3/1/2000,1985,,1,1,Local,,12572826,15
300,ENGLEWOOD,AVE,6,,7,4,4,335,27,12/1/1999,1985,O,1,2,Local,3,12571736,14
300,ERIE,BLVD,10,E,7,3,4,564,55,1/1/2016,1985,F,4,3,PA,6,12577843,31
300,ERIE,BLVD,10,W,6,4,3,975,56,1/1/2016,1985,F,4,3,PA,6,12573862,31
300,ERIE,ST,3,,7,4,3,627,27,1/1/2016,1999,,1,1,Local,3,12572813,17
300,ESSEX,ST,3,,7,4,4,786,30,3/1/2000,1999,,1,1,Local,3,12572773,1
300,ESSEX,ST,3,,7,4,4,786,30,3/1/2000,1999,,1,1,Local,3,13006472,1
300,ESSEX,ST,3,,7,4,4,786,30,3/1/2000,1999,,1,1,Local,3,12572793,1
300,EUCLID,AVE,6,,6,3,3,320,39,1/1/2016,1985,F,3,3,MA,6,12577566,31
300,FABIUS,ST,3,,6,4,2,366,,2/1/2000,1999,F,1,3,Local,,12573654,1
300,FABIUS,ST,3,,6,4,2,366,,2/1/2000,1999,F,1,3,Local,,13002367,1
300,FARMER,ST,3,,7,3,4,1240,24,12/1/2000,1986,F,1,3,Local,6,12580353,14
300,FAYETTE,BLVD,10,,6,3,4,429,25.5,12/1/1999,1985,O,1,2,Local,3,12578892,14
300,FAYETTE,ST,3,E,5,3,2,525,36,3/1/2000,1983,F,3,3,MA,6,12577697,17
300,FAYETTE,ST,3,W,7,4,3,950,37,1/1/2016,1985,F,3,3,MA,6,12573732,31
