block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
500,TALLMAN,ST,3,,6,3,3,,30,3/1/2000,1999,,2,1,CO,,12573324,1
500,TAYLOR,ST,3,E,5,3,2,,27,3/1/2000,1985,,1,1,Local,6,12577467,15
500,TAYLOR,ST,3,W,6,3,3,,30,3/1/2000,1985,,1,1,Local,,13020287,15
500,TAYLOR,ST,3,W,6,3,3,,30,3/1/2000,1985,,1,1,Local,,13020288,15
500,TEALL,AVE,6,,6,4,3,529,30,12/1/1999,1999,,4,1,PA,6,12578349,0
500,TEALL,AVE,6,,6,4,3,529,30,12/1/1999,1999,,4,1,PA,6,12578350,0
500,TEALL,AVE,6,,6,4,3,529,30,12/1/1999,1999,,4,1,PA,6,13027393,0
500,THURBER,ST,3,,6,3,4,,28,12/1/1999,1989,,2,1,CO,,12576964,10
500,TOMPKINS,ST,3,,4,2,2,,36,2/1/2000,1985,,1,1,Local,6,12572728,15
500,TOWNSEND,ST,3,N,6,4,2,440,35,12/1/1998,1999,,1,1,Local,,12577975,-1
500,TRACY,ST,3,,9,5,5,,,3/1/2000,1985,,1,1,Local,,12573622,15
500,TULLY,ST,3,,4,2,2,,30,2/1/2000,1985,,1,1,Local,6,12573607,15
500,TURTLE,ST,3,,5,3,3,480,27,12/1/1999,1985,,1,1,Local,6,12575305,14
500,TYSON,PL,2,,7,4,4,,27,12/1/1999,1988,,1,1,Local,,12581097,11
500,ULSTER,ST,3,,5,3,2,,36,3/1/2000,1999,,1,1,Local,,12572732,1
500,UNIVERSITY,AVE,6,,6,3,3,,30,3/1/2000,1999,,3,1,MA,,12578110,1
500,UNIVERSITY,PL,2,,7,4,4,700,30,12/1/1998,1985,,1,1,Local,6,12577588,13
500,VALLEY,DR,4,,7,3,4,825,35,12/1/1999,1989,,3,1,MA,,12571934,10
500,VALLEY,DR,4,,7,3,4,825,35,12/1/1999,1989,,3,1,MA,,12571956,10
500,VALLEY,DR,4,,7,3,4,825,35,12/1/1999,1989,,3,1,MA,,12571931,10
500,VAN BUREN,ST,3,,5,3,2,,29,3/1/2000,1985,,3,1,MA,6,12577465,15
500,VAN BUREN,ST,3,,5,3,2,,29,3/1/2000,1985,,3,1,MA,6,12577489,15
500,VAN RENSSELAER,ST,3,,8,4,4,410,27,3/1/2000,1999,,1,1,Local,,12573801,1
500,VAN RENSSELAER,ST,3,,8,4,4,410,27,3/1/2000,1999,,1,1,Local,,12573792,1
500,VAN RENSSELAER,ST,3,,8,4,4,410,27,3/1/2000,1999,,1,1,Local,,13001302,1
500,VAN RENSSELAER,ST,3,,10,5,5,345,27,12/1/1998,1999,,1,1,Local,,12573801,-1
500,VAN RENSSELAER,ST,3,,10,5,5,345,27,12/1/1998,1999,,1,1,Local,,12573792,-1
500,VAN RENSSELAER,ST,3,,10,5,5,345,27,12/1/1998,1999,,1,1,Local,,13001302,-1
500,VELASKO,RD,5,,5,3,3,,36,12/1/1999,1985,,3,1,MA,,12572337,14
500,VINE,ST,3,,4,2,2,250,27,10/1/1999,1985,,1,1,Local,6,12580366,14
500,WADSWORTH,ST,3,,4,3,2,422,27,12/1/1998,1983,,2,1,CO,6,13012400,15
500,WADSWORTH,ST,3,,4,3,2,422,27,12/1/1998,1983,,2,1,CO,6,12580638,15
500,WALNUT,AVE,6,,6,3,3,,30,12/1/1999,1985,,2,1,CO,,12578131,14
500,WARREN,ST,3,S,5,3,2,440,38,2/1/2000,1988,,1,1,Local,6,13011856,12
500,WARREN,ST,3,S,5,3,2,440,38,2/1/2000,1988,,1,1,Local,6,12577655,12
500,WASHINGTON,ST,3,E,6,3,3,320,47,3/1/2000,1985,,2,1,CO,6,12577886,15
500,WATER,ST,3,E,5,3,2,,,3/1/2000,1985,,2,1,CO,,12577892,15
500,WENDELL,TER,1,,7,3,4,,27,12/1/1999,1999,,1,1,Local,,12580494,0
500,WEST,ST,3,S,8,4,5,,,12/1/1998,1999,,1,1,Local,,12573708,-1
500,WESTCOTT,ST,3,,6,3,3,1300,34,12/1/1998,1983,,2,1,CO,6,12578176,15
500,WESTCOTT,ST,3,,6,3,3,1300,34,12/1/1998,1983,,2,1,CO,6,12577640,15
500,WESTCOTT,ST,3,,6,3,3,1300,34,12/1/1998,1983,,2,1,CO,6,12578178,15
500,WESTMORELAND,AVE,6,,8,4,4,2693,27,12/1/1999,1985,,1,1,Local,3,12578697,14
500,WILBUR,AVE,6,S,6,3,3,410,41,12/1/1998,1985,,2,1,CO,,12573400,13
500,WILBUR,AVE,6,S,6,3,3,410,41,12/1/1998,1985,,2,1,CO,,12573425,13
500,WILKINSON,ST,3,,8,4,4,,,3/1/2000,1989,,1,1,Local,3,12573537,11
500,WILLIS,AVE,6,,6,3,3,385,25,3/1/2000,1985,,1,1,Local,,12572811,15
500,WILLOW,ST,3,E,9,5,5,,34,2/1/2000,1999,,1,1,Local,3,12577965,1
500,WINKWORTH,PKWY,9,,7,3,4,,30,12/1/1999,1999,,1,1,Local,3,12571631,0
500,WINTON,ST,3,,9,4,5,560,27,12/1/1999,1999,,1,1,Local,,12580368,0
500,WOLCOTT,AVE,6,,7,4,3,,27,12/1/1999,1999,,1,1,Local,6,12572895,0
500,WOLF,ST,3,,7,4,3,495,42,12/1/1998,1989,,3,1,MA,6,12575479,9
500,WOODBINE,AVE,6,,6,3,4,,27,12/1/1999,1989,,1,1,Local,,12580943,10
500,WYOMING,ST,3,,8,4,5,385,25,2/1/2000,1999,,1,1,Local,,12573652,1
5000,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,12576529,-1
5000,SALINA,ST,3,S,7,3,4,,40,12/1/1998,1999,,3,1,MA,6,13002104,-1
5100,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,12576527,0
5200,SALINA,ST,3,S,5,3,3,,40,12/1/1999,1999,,3,1,MA,6,13002112,0
5200,SALINA,ST,3,S,5,3,3,,40,12/1/1999,1999,,3,1,MA,6,12576523,0
5200,SALINA,ST,3,S,5,3,3,,40,12/1/1999,1999,,3,1,MA,6,13002110,0
5300,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,12576505,0
5300,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,12576522,0
5400,SALINA,ST,3,S,5,3,2,,40,12/1/1998,1999,,3,1,MA,6,12564384,-1
5500,SALINA,ST,3,S,5,3,2,,40,12/1/1999,1999,,3,1,MA,6,13020812,0
5500,SALINA,ST,3,S,5,3,2,,40,12/1/1999,1999,,3,1,MA,6,12564383,0
5500,SALINA,ST,3,S,5,3,2,,40,12/1/1999,1999,,3,1,MA,6,12564377,0
5500,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,13020812,0
5500,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,12564383,0
5500,SALINA,ST,3,S,6,3,3,,40,12/1/1999,1999,,3,1,MA,6,12564377,0
5600,SALINA,ST,3,S,6,3,4,,40,12/1/1999,1999,,3,1,MA,6,12564376,0
