streetName,streetType,longitude,latitude
DOLL,PKWY,-76.0877969,43.0453638
DORCHESTER,AVE,-76.125213,43.069326
DOROTHY,ST,-76.12722,43.061546
DORSET,RD,-76.126259,43.033311
DORWIN,AVE,-76.1495562,42.9851596
DOUGALL,AVE,-76.1403811,43.0252601
DOUGLAS,ST,-76.140912,43.059691
DRISCOLL,AVE,-76.1974582,43.052814
DUANE,ST,-76.178387,43.031761
DUDLEY,ST,-76.1699873,43.0350967
DUNDEE,DR,-76.186668,43.027269
DUNLAP,AVE,-76.113263,43.075806
DURSTON,AVE,-76.127238,43.068374
EAST,AVE,-76.105706,43.044312
EASTMAN,AVE,-76.160575,43.021769
EASTVIEW,AVE,-76.164087,43.028357
EDGEHILL,RD,,
EDGEMONT,DR,-76.089551,43.039486
EDGEWOOD,AVE,-76.165449,43.016022
EDGEWOOD,DR,-76.1373888,42.9887189
EDISON,ST,-76.1707217,43.0555866
EDMUND,AVE,-76.1535741,43.0172888
EDNA,RD,-76.140215,42.9851538
EDTIM,RD,-76.1164934,43.0703884
EDWARDS,AVE,-76.105927,43.064088
ELDORADO,ST,-76.1201711,43.0635936
ELIZABETH,ST,-101.7559949,37.9826089
ELK,ST,-76.1429324,43.0250388
ELLEN,ST,-76.1511379,43.0803933
ELMWOOD,AVE,-76.163974,43.018825
ELOISE,TER,-76.1627829,43.0259539
ELSNER,ST,-76.1364247,43.0684714
EMERSON,AVE,-76.188976,43.055235
EMPIRE,AVE,-76.1533842,43.0099191
ENFIELD,PL,-76.093016,43.039778
ENGLERT,AVE,-76.147711,43.0796907
ENGLEWOOD,AVE,-76.1562821,43.0045898
ERICKSON,ST,-76.095977,43.062293
ERIE,BLVD,-76.112557,43.051827
ERIE,ST,-76.192021,43.0521351
ESSEX,ST,-76.1967487,43.0552432
EUCLID,AVE,-76.1127794,43.0371171
EUCLID,TER,-76.1180263,43.0374622
EUREKA,ST,-76.175892,43.05448
EVANS,ST,-76.160329,43.05537
EXCHANGE,ST,-76.1659177,43.0709367
FABIUS,ST,-76.160001,43.044316
FAGE,AVE,-76.1481177,43.0237102
FAIRDALE,AVE,-76.184067,43.027407
FAIRFIELD,AVE,-76.165461,43.016902
FAIRVIEW,AVE,-76.1267865,43.0533089
FARMER,ST,-76.13394,43.064422
FAYETTE,BLVD,-76.0976631,43.0492285
FAYETTE,ST,-76.1677655,43.0465996
FEIGEL,AVE,-76.1250504,43.072153
FELLOWS,AVE,-76.1151384,43.0370029
FENTON,ST,-76.174384,43.038871
FENWAY,DR,-76.110564,43.048294
FERNDALE,DR,-76.145962,43.004778
FERNWOOD,AVE,-76.1493838,43.0225892
FERRIS,AVE,-76.107216,43.044656
FILLMORE,AVE,-76.13984,43.009872
FIRST NORTH,ST,-76.153881,43.071353
FISCOE,AVE,-76.1441925,42.9928142
FISH,AVE,-76.1538941,43.0069041
FITCH,ST,-76.1726719,43.0379703
FLETCHER,AVE,-76.166438,43.01683
FLORAL,PKWY,-76.146392,43.002457
FLORENCE,AVE,-76.1411005,43.0069942
FOBES,AVE,-76.111602,43.073387
FORD,AVE,-76.1559789,43.0130554
FORDHAM,RD,-76.12534,43.071271
FORDLAND,AVE,-76.1506913,43.0774025
FOREST,AVE,-76.1492253,43.0210283
FOREST HILL,DR,-76.1109986,43.0653281
FORMAN,AVE,-76.1399298,43.048534
FOUNTAIN,ST,-76.134971,43.054483
FOURTH NORTH,ST,-76.160577,43.078724
FOXBORO,RD,-76.09368,43.049493
